id,educ,maeduc,paeduc
1590,14,6,6
1591,12,14,12
1592,16,16,16
1593,13,12,16
1594,16,14,16
1596,16,12,12
1597,10,13,10
1598,12,8,4
1601,14,9,12
1602,13,12,8
1603,16,12,12
1604,16,5,16
1606,13,12,12
1607,17,8,3
1608,12,8,11
1610,14,12,14
1612,13,9,12
1614,11,12,11
1616,14,13,8
1617,14,14,16
1618,18,16,18
1619,12,12,12
1620,14,13,14
1624,11,8,0
1625,16,13,16
1626,16,16,16
1627,20,12,14
1628,16,8,12
1631,11,14,16
1632,13,12,12
1634,20,13,16
1638,14,12,13
1640,12,7,7
1643,20,12,12
1646,12,12,12
1647,12,12,12
1648,17,15,16
1649,15,12,16
1650,16,16,13
1653,20,12,12
1657,14,12,12
1658,16,14,12
1660,14,12,12
1661,12,12,12
1662,16,12,8
1664,18,12,12
1665,14,12,11
1669,20,9,12
1671,12,12,12
1672,16,12,12
1673,14,12,8
1675,12,12,12
1676,9,11,12
1677,12,10,9
1678,11,11,7
1681,18,14,12
1683,17,16,16
1684,18,11,12
1685,16,12,16
1686,16,12,12
1688,16,20,16
1689,12,12,12
1691,18,18,12
1692,16,20,20
1694,14,12,11
1695,13,14,12
1696,12,12,13
1697,16,12,12
1699,14,12,12
1701,13,12,14
1702,16,20,12
1703,13,13,12
1704,16,12,9
1705,14,11,14
1707,16,10,10
1709,18,11,14
1710,12,10,11
1711,9,12,12
1712,12,12,12
1714,13,12,12
1715,13,12,13
1716,18,12,12
1717,16,12,13
1719,16,14,16
1720,14,11,9
1721,15,12,16
1722,16,12,11
1723,16,12,12
1726,16,12,12
1727,16,16,16
1728,18,12,12
1729,13,11,12
1731,18,12,14
1733,18,10,15
1734,20,12,12
1735,12,12,12
1736,18,12,20
1741,13,12,12
1742,15,12,13
1743,12,12,9
1745,16,12,15
1746,14,12,12
1747,16,12,12
1748,16,10,10
1750,14,12,14
1751,14,12,12
1752,12,12,12
1753,13,16,10
1754,14,12,9
1756,16,12,16
1757,18,12,16
1758,16,18,14
1759,20,12,14
1760,12,12,12
1761,16,13,16
1762,14,8,8
1764,14,12,16
1766,16,14,14
1767,13,14,12
1769,13,12,8
1770,14,18,18
1771,12,12,12
1772,12,12,12
1773,14,10,14
1774,12,12,12
1776,16,12,12
1782,12,12,12
1783,17,12,12
1784,20,12,12
1785,16,12,12
1786,16,14,12
1788,20,12,12
1789,17,14,16
1790,12,12,11
1791,16,19,20
1792,17,4,6
1794,15,13,14
1796,12,12,8
1797,16,6,12
1798,16,12,13
1802,12,12,12
1803,15,8,12
1806,13,8,12
1807,16,9,8
1808,12,12,12
1809,16,12,14
1811,16,16,16
1812,13,12,12
1813,16,12,12
1814,15,12,12
1815,12,12,11
1816,12,11,12
1817,16,11,11
1818,15,16,20
1819,16,14,20
1822,14,12,12
1824,16,12,12
1826,12,14,12
1827,12,12,12
1829,17,16,15
1830,12,8,8
1837,15,16,12
1838,16,16,12
1840,12,10,12
1841,11,1,12
1842,11,12,12
1845,18,15,8
1847,17,16,8
1848,16,12,12
1849,12,9,12
1850,14,5,6
1851,16,20,20
1852,16,12,12
1853,12,12,12
1854,14,14,14
1856,13,5,5
1857,16,12,12
1858,13,13,13
1859,16,12,13
1860,20,14,12
1861,14,12,12
1862,14,14,12
1863,18,12,12
1864,18,20,20
1865,14,16,12
1866,10,12,12
1867,13,12,12
1868,12,12,12
1869,12,20,12
1871,12,8,12
1872,12,12,8
1875,14,9,12
1876,12,16,13
1877,14,11,11
1878,18,12,8
1879,12,8,8
1881,12,15,16
1882,16,8,7
1883,16,12,12
1884,16,18,16
1885,12,12,9
1887,13,12,10
1888,13,12,12
1889,18,14,14
1890,13,12,11
1891,18,12,16
1892,12,12,12
1894,12,12,14
1895,20,12,20
1897,14,16,18
1898,12,12,12
1899,16,12,16
1901,16,13,16
1903,12,12,13
1904,15,20,20
1905,18,12,10
1908,17,16,12
1909,14,14,13
1910,19,16,12
1912,20,14,13
1914,16,12,12
1915,14,12,8
1916,16,14,13
1918,18,16,18
1922,20,14,16
1923,18,12,13
1924,16,12,12
1925,18,20,16
1926,16,12,12
1929,16,10,12
1932,14,13,12
1933,16,12,13
1934,12,4,3
1935,15,14,17
1936,16,12,14
1937,18,18,16
1938,18,13,12
1939,16,16,16
1942,15,7,12
1943,14,18,14
1946,10,8,10
1947,12,12,14
1950,16,12,12
1951,17,14,8
1953,16,16,14
1954,18,2,6
1959,12,12,14
1960,19,12,12
1961,12,12,12
1962,18,12,12
1965,12,12,12
1966,12,3,0
1967,18,16,18
1968,13,12,12
1969,16,12,12
1970,20,13,16
1971,12,10,12
1973,14,16,16
1976,17,14,15
1978,12,14,12
1979,14,12,10
1980,16,18,18
1981,14,8,6
1984,16,14,18
1985,16,12,13
1986,20,13,12
1988,16,16,16
1989,16,15,15
1990,12,16,12
1992,13,11,11
1993,12,12,12
1996,16,12,12
1998,13,14,10
1999,14,12,12
2000,12,12,12
2001,13,12,12
2003,16,12,12
2005,14,18,13
2011,12,12,12
2012,13,18,18
2018,12,14,14
2019,16,13,17
2021,14,16,16
2022,12,8,6
2023,12,12,6
2027,19,12,12
2028,13,10,12
2029,16,14,13
2030,12,14,16
2031,12,12,6
2034,19,16,16
